2.190970356203615632e-02,2.094361218065023469e-02,1.562673683837056265e-02,5.791481796652078740e-02,2.303485992737114296e-02
1.828321474045515108e-02,1.554159653559327066e-02,1.817064524441957402e-02,1.705962106492370234e-02,1.982205717079341470e-02
1.673306989297270939e-02,1.468443967960774907e-02,1.471502604708075507e-02,2.100880159065127498e-02,1.997905206121504407e-02
1.165440129581838888e-02,1.438117971643805559e-02,1.726330620422959414e-02,1.749292005971074190e-02,1.505421236436814067e-02
1.598637398891150987e-02,1.432719361968338469e-02,1.312893734965473423e-02,1.629273982532322348e-02,1.526502096280455550e-02
1.193242652993649171e-02,1.448487597517669236e-02,1.617145907133817756e-02,1.246114967763423988e-02,1.265403224434703648e-02
1.666568512097001131e-02,1.251622280385345301e-02,1.133401983790099585e-02,1.278718277812004173e-02,1.242548364773392658e-02
1.281347517762333223e-02,1.330953587498515805e-02,1.325924664828926312e-02,1.160633388254791488e-02,1.224511974211782254e-02
1.019823655113577879e-02,1.258663289994001351e-02,9.779125520028174659e-03,1.556347188539802980e-02,1.243105232995003404e-02
1.997360840439796337e-02,1.370958952605724410e-02,1.196611035801470324e-02,1.378511236608028455e-02,1.295822957623750035e-02
