0.000000000000000000e+00,4.460033785003593432e-02,1.780286792310204202e-01
1.000000000000000000e+00,4.244351136805928765e-02,1.642491637537242810e-01
2.000000000000000000e+00,3.839914338774687991e-02,2.189904173725586156e-01
3.000000000000000000e+00,3.865913504841750337e-02,1.770517228238897012e-01
4.000000000000000000e+00,3.746643439962734495e-02,1.995238535555127202e-01
5.000000000000000000e+00,3.706534665262078282e-02,1.947521381114536432e-01
6.000000000000000000e+00,3.705645419448323763e-02,1.975151215079766764e-01
7.000000000000000000e+00,3.732252269011670370e-02,2.002397604113230478e-01
8.000000000000000000e+00,3.748923712585058160e-02,2.208802494052437282e-01
9.000000000000000000e+00,3.800073315275403346e-02,2.010339688326226726e-01
